序号,项目名称,项目URL,Star数,描述,创建时间,更新时间
14,jqlang/jq,https://github.com/jqlang/jq,33140,Command-line JSON processor,2012-07-18T19:57:25Z,2025-12-05T11:38:58Z
15,bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,33063,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",2013-06-03T04:12:04Z,2025-12-05T13:54:49Z
16,mpv-player/mpv,https://github.com/mpv-player/mpv,32867,🎥 Command line media player,2012-10-13T08:08:44Z,2025-12-05T14:28:19Z
17,lizongying/my-tv,https://github.com/lizongying/my-tv,32202,我的电视 电视直播软件，安装即可使用,2023-12-04T12:18:39Z,2025-12-05T08:15:24Z
18,coolsnowwolf/lede,https://github.com/coolsnowwolf/lede,31152,Lean's LEDE source,2017-09-06T07:39:03Z,2025-12-05T13:54:59Z
19,nothings/stb,https://github.com/nothings/stb,30700,stb single-file public domain libraries for C/C++,2014-05-25T16:51:23Z,2025-12-05T12:07:51Z
20,valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,30530,This project aims to enhance the working environment on Windows,2021-08-09T14:17:24Z,2025-12-05T14:53:18Z
21,cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,29865,How to create an OS from scratch,2014-09-29T08:39:34Z,2025-12-05T13:08:22Z
22,raysan5/raylib,https://github.com/raysan5/raylib,29563,A simple and easy-to-use library to enjoy videogames programming,2013-10-24T15:46:04Z,2025-12-05T12:45:28Z
23,openssl/openssl,https://github.com/openssl/openssl,29158,TLS/SSL and crypto library,2013-01-15T22:34:48Z,2025-12-05T15:15:31Z
24,kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,28964,A professional cross-platform SSH/Sftp/Shell/Telnet/Tmux/Serial terminal.,2019-10-09T19:56:09Z,2025-12-05T14:18:04Z
25,nginx/nginx,https://github.com/nginx/nginx,28739,The official NGINX Open Source repository.,2015-06-23T10:26:27Z,2025-12-05T15:21:55Z
26,koekeishiya/yabai,https://github.com/koekeishiya/yabai,27644,A tiling window manager for macOS based on binary space partitioning,2019-05-04T15:00:50Z,2025-12-05T14:27:25Z
27,ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,27475,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows),2017-05-16T18:48:52Z,2025-12-05T14:36:30Z
28,ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,27139,"A code-searching tool similar to ack, but faster.",2011-11-19T19:50:47Z,2025-12-05T15:24:33Z
29,pjreddie/darknet,https://github.com/pjreddie/darknet,26397,Convolutional Neural Networks,2014-04-11T07:59:16Z,2025-12-05T01:07:00Z
30,libuv/libuv,https://github.com/libuv/libuv,26290,Cross-platform asynchronous I/O,2013-11-30T00:29:56Z,2025-12-05T14:24:50Z
