Commit标题,作者和时间,Commit链接
Media: updates naming convention from `mediacover` to `media-cover` for media cover logo sources,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/084f9294f27f3426bd6ab596255577ae81bfb1eb
Doc: update changelog,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/a9f1f9a64700e8558b35a8a0a8630d9de139e43f
Chore: silenses some compiler warnings,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/0aed89036b7297323459a7ad142a766fbea997c7
Media: moves media cover cleanup logic to media detection,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/df15bbc5f25de1fadf0f8468ef7f145aea0e2c5f
Media: fixes album cover serialization in JSON result,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/e6b0bd3817ee03279658e53faf7502dcb3972bca
Logo (Builtin): tidy [ci skip],李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/11cd7153a2a812d25bd673419e7897189a7e5a05
Releases: v2.55.0,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/f8bc1cb6056216a5729b6d7017ab63fb3bf1dc8a
TerminalShell (Linux): ignores `run-parts`,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/8b8eb6f290bd6296c1f6fe3b7121bd38e8744640
Examples/25: removes `parallel: true` since we had it enabled by default [ci skip],李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/056fe21ee290dffad10d37bcfaefa9064d1b80ee
Processing (Linux): blocks SIGCHLD and simplify poll error handling,李通洲 committed 20 days ago,https://github.com/fastfetch-cli/fastfetch/commit/c22bca1f87c395665c35c8f64f4f9721781d7ff5
CPU (Linux): adds support for HP PA‑RISC & SuperH CPU architecture detection,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/af26828f910c91d4e1dd11dab5bfe2e0df636ff0
Display (Windows): adds VRR status detection support,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/f4c43abbf7a2e8a9d52e4d0312c2b6379021e55c
Logo (Builtin): update T2,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e84739bff002d2413ba25d7b0669c22306563b3f
"Revert ""Display (Windows): fixes incorrect refresh rate when VRR is enabled""",李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/66aad0e4f14983b9c093e8c55b8029ad809b3eba
Display (Windows): fixes incorrect refresh rate when VRR is enabled,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/31ae7a642a180fca3c054074445eb064f9438e2b
CI (Linux): disables post operations for polyfilled binaries,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/316d8ddf9b86182ded30f6144da99c759fb09caa
Platform (Windows): adds missing else for Wine version detection,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/240ba5c00c2142f3a39c07d3db8dc9f8c1ed89df
CI: upgrades compiler versions,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/7a055a2254352b40bf05398dad443c861ad03240
OS (macOS): improves OS detection accuracy and sets pretty name,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e6e78a7aae6638c7f1234dd6b5efbf9d38370538
OS (macOS): removes fallback parsing of legacy macOS license file,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/09bef5f41dd49a3880b2457dc2f1dc36787cf556
OS (macOS): trims whitespace from full user name,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e394efdd854f53afe5405cf285a75080942cf5cc
Swap (Windows): prevents integer overflow in swap size,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/c10b652a2e3933b0cc69f4f31ec4e99329816428
Kernel (Windows): move kernel.displayVersion to OS.codeName,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/1594a69d6c37308ed367f66da6faa5ba6a49d726
OS (Linux): sets code name for Ubuntu,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/9b1e318bd1ef382e9824f5292e7914cd2f8ebfc6
OS (Linux): sets point release for Debian,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e292bf1dee4f3fdefe4b52c7f5ec2f3d0a44532f
Logo (Builtin): adds EmperorOS,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/55a0c6e97d819615276fdaec9d8ea51a5d2072ec
Theme (Windows): moves Windows theme detection logic from DE to dedicated module,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/8be070998f531102b94486d4375154eb819d2d28
Theme (macOS): moves macOS theme detection logic from DE to dedicated module,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/093f56a03d8658ade3edf2c104f587cfc6245b74
CommandLine: adds `--json` flag as a shortcut for enabling JSON output,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/bd9744c27cb9e8712384b6dc723ab64ee022968b
