项目名称,提交ID,提交时间,总变化行数
HandBrake/HandBrake,b1aaeae,2025-07-04T09:20:33Z,13
HandBrake/HandBrake,61a2aec,2025-07-04T09:11:14Z,402
HandBrake/HandBrake,678be8e,2025-07-04T09:10:01Z,29
HandBrake/HandBrake,fc3ecd6,2025-07-02T17:48:29Z,40
HandBrake/HandBrake,8701791,2025-07-02T17:43:30Z,28
HandBrake/HandBrake,52da177,2025-06-30T06:39:21Z,8
HandBrake/HandBrake,c90a6b4,2025-06-29T06:11:43Z,33
HandBrake/HandBrake,49b6697,2025-06-29T06:08:08Z,103
HandBrake/HandBrake,473ec7f,2025-06-28T20:58:45Z,2
HandBrake/HandBrake,087f1a7,2025-06-28T20:07:39Z,2
HandBrake/HandBrake,5193e59,2025-06-28T19:23:39Z,14
HandBrake/HandBrake,1013621,2025-06-28T18:51:49Z,4
HandBrake/HandBrake,64c21d5,2025-06-28T18:07:33Z,6
HandBrake/HandBrake,832a1d1,2025-06-28T10:34:51Z,37
HandBrake/HandBrake,1a0c2a6,2025-06-28T10:27:48Z,2
HandBrake/HandBrake,46cd814,2025-06-28T05:52:46Z,12
HandBrake/HandBrake,467fd9a,2025-06-27T20:24:50Z,2
HandBrake/HandBrake,eea76de,2025-06-27T16:55:35Z,17
HandBrake/HandBrake,b346686,2025-06-27T05:51:14Z,18
HandBrake/HandBrake,6a42b94,2025-06-23T18:18:59Z,21
HandBrake/HandBrake,eabf0a4,2025-06-21T10:07:53Z,26
HandBrake/HandBrake,a537882,2025-06-21T08:41:35Z,45
HandBrake/HandBrake,024f682,2025-06-17T08:22:28Z,6
HandBrake/HandBrake,ad8ab1b,2025-06-17T08:22:13Z,188
HandBrake/HandBrake,be8f3c0,2025-06-16T06:52:12Z,12
HandBrake/HandBrake,7f74a93,2025-06-15T08:29:41Z,6
HandBrake/HandBrake,624038a,2025-06-15T07:10:41Z,6
HandBrake/HandBrake,b551ae4,2025-06-15T07:10:16Z,6
HandBrake/HandBrake,748a615,2025-06-14T14:59:37Z,110
HandBrake/HandBrake,2d69467,2025-06-14T14:58:40Z,4
HandBrake/HandBrake,b94b129,2025-06-13T13:07:54Z,37
HandBrake/HandBrake,d74725c,2025-06-13T05:43:24Z,92
HandBrake/HandBrake,4955ef8,2025-06-12T16:59:56Z,1824
HandBrake/HandBrake,35d478d,2025-06-12T16:55:14Z,58
HandBrake/HandBrake,c3978fd,2025-06-10T06:33:12Z,31
HandBrake/HandBrake,5fd0f3f,2025-06-09T13:57:09Z,694
HandBrake/HandBrake,0e83d3c,2025-06-09T08:43:04Z,9
HandBrake/HandBrake,81b437c,2025-06-09T08:41:35Z,101
HandBrake/HandBrake,bd93ed4,2025-06-09T07:46:49Z,39
HandBrake/HandBrake,d9fb2fc,2025-06-08T16:30:46Z,2
HandBrake/HandBrake,f121bf6,2025-06-07T07:26:10Z,56
HandBrake/HandBrake,cbe0ffc,2025-06-06T08:27:56Z,23
HandBrake/HandBrake,5b366b7,2025-06-05T11:48:00Z,24
HandBrake/HandBrake,fbd27e5,2025-06-05T11:07:47Z,12
HandBrake/HandBrake,0192051,2025-06-05T05:24:24Z,300
HandBrake/HandBrake,03dcb74,2025-06-04T19:51:14Z,80
HandBrake/HandBrake,9e797ac,2025-06-04T07:27:06Z,19
HandBrake/HandBrake,07a2b85,2025-06-04T07:19:35Z,63
HandBrake/HandBrake,5885c5e,2025-06-03T18:39:30Z,5
HandBrake/HandBrake,66fe47c,2025-06-03T06:48:59Z,1736
HandBrake/HandBrake,67485eb,2025-06-01T15:31:42Z,4
HandBrake/HandBrake,16c9952,2025-05-21T16:55:26Z,2
HandBrake/HandBrake,176512c,2025-05-21T16:40:42Z,87
HandBrake/HandBrake,302abbc,2025-05-21T16:31:28Z,4
HandBrake/HandBrake,1de9bd6,2025-05-20T17:20:40Z,7916
HandBrake/HandBrake,2ac3070,2025-05-15T06:22:18Z,260
HandBrake/HandBrake,4a3195b,2025-05-14T19:39:49Z,81
HandBrake/HandBrake,75f0ffd,2025-05-14T06:17:04Z,3
HandBrake/HandBrake,f4fb20c,2025-05-12T18:48:26Z,36
HandBrake/HandBrake,c76f765,2025-05-08T17:17:09Z,10
HandBrake/HandBrake,48f7e18,2025-05-08T08:32:11Z,15
HandBrake/HandBrake,eab3c90,2025-05-07T11:24:02Z,19
HandBrake/HandBrake,6822f81,2025-05-07T11:23:31Z,10
HandBrake/HandBrake,c4afb59,2025-05-07T05:33:03Z,6
HandBrake/HandBrake,39cc387,2025-05-03T13:06:38Z,125
